PERIODO,MUNICIPIO,DIAGNOSTICO,GENERO,REGIMEN,RANGO_EDAD,CANTIDAD_CASOS,ANIO,MES_NUM,PERIODO_MENSUAL,TRIMESTRE,MES_NOMBRE,SEMESTRE,GRUPO_DIAGNOSTICO,SALUD_MENTAL_CLASS
2024-01-01,ALCALA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ALCALA,"PROBLEMAS RELACIONADOS CON EL GRUPO PRIMARIO DE APOYO, INCLUSIVE CIRCUNSTANCIAS FAMILIARES",MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,ALCALA,RETRASO MENTAL LEVE,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,DORSALGIA,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,MUSCULOESQUELETICO,OTROS_GRUPOS_DX
2024-01-01,ANSERMA,ESQUIZOFRENIA,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,60+,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,"PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD POR OTRAS CONSULTAS Y CONSEJOS MEDICOS, NO CLASIFICADOS EN OTRA PARTE",MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,ANSERMA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,RETRASO MENTAL MODERADO,MASCULINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMA,TRASTORNOS HIPERCINETICOS,MASCULINO,CONTRIBUTIVO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ANSERMANUEVO,OBESIDAD,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,ANSERMANUEVO,TRASTORNO DEPRESIVO RECURRENTE,MASCULINO,OTRO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,EPILEPSIA,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,NEUROLOGICO,OTROS_GRUPOS_DX
2024-01-01,APIA,EPISODIO DEPRESIVO,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,EPISODIO DEPRESIVO,MASCULINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,ESQUIZOFRENIA,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,ESQUIZOFRENIA,MASCULINO,SUBSIDIADO,29-59,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,APIA,EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,APIA,OBESIDAD,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,APIA,OTROS HIPOTIROIDISMOS,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,APIA,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA CONCIENCIA,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SINTOMAS_GENERALES,OTROS_GRUPOS_DX
2024-01-01,APIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA,FEMENINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,"PROBLEMAS RELACIONADOS CON EL GRUPO PRIMARIO DE APOYO, INCLUSIVE CIRCUNSTANCIAS FAMILIARES",FEMENINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,APIA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,SUBSIDIADO,60+,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
