anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,ALCALA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,ALCALA,"Problemas Relacionados Con El Grupo Primario De Apoyo, Inclusive Circunstancias Familiares",MASCULINO,SUBSIDIADO,29-59,1
2024-01,ALCALA,Retraso Mental Leve,MASCULINO,SUBSIDIADO,12-17,1
2024-01,ANSERMA,Dorsalgia,FEMENINO,SUBSIDIADO,29-59,1
2024-01,ANSERMA,Esquizofrenia,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,ANSERMA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,ANSERMA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,60+,2
2024-01,ANSERMA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,60+,1
2024-01,ANSERMA,"Persona En Contacto Con Los Servicios De Salud Por Otras Consultas Y Consejos Medicos, No Clasificados En Otra Parte",MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,ANSERMA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,ANSERMA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,ANSERMA,Retraso Mental Moderado,MASCULINO,SUBSIDIADO,60+,1
2024-01,ANSERMA,Trastorno Afectivo Bipolar,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,ANSERMA,Trastornos Hipercineticos,MASCULINO,CONTRIBUTIVO,6-11,1
2024-01,ANSERMANUEVO,Obesidad,FEMENINO,SUBSIDIADO,29-59,1
2024-01,ANSERMANUEVO,Trastorno Depresivo Recurrente,MASCULINO,OTRO,6-11,1
2024-01,APIA,Epilepsia,MASCULINO,SUBSIDIADO,29-59,1
2024-01,APIA,Episodio Depresivo,FEMENINO,SUBSIDIADO,60+,1
2024-01,APIA,Episodio Depresivo,MASCULINO,CONTRIBUTIVO,60+,1
2024-01,APIA,Esquizofrenia,MASCULINO,SUBSIDIADO,18-28,1
2024-01,APIA,Esquizofrenia,MASCULINO,SUBSIDIADO,29-59,2
2024-01,APIA,Examen General E Investigacion De Personas Sin Quejas O Sin Diagnostico Informado,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,APIA,Examen General E Investigacion De Personas Sin Quejas O Sin Diagnostico Informado,MASCULINO,SUBSIDIADO,29-59,1
2024-01,APIA,Obesidad,FEMENINO,SUBSIDIADO,18-28,1
2024-01,APIA,Otros Hipotiroidismos,FEMENINO,SUBSIDIADO,29-59,1
2024-01,APIA,Otros Sintomas Y Signos Que Involucran La Funcion Cognoscitiva Y La Conciencia,FEMENINO,SUBSIDIADO,60+,1
2024-01,APIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,29-59,1
2024-01,APIA,Otros Trastornos De Ansiedad,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,APIA,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,18-28,1
2024-01,APIA,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,FEMENINO,SUBSIDIADO,12-17,1
2024-01,APIA,"Problemas Relacionados Con El Grupo Primario De Apoyo, Inclusive Circunstancias Familiares",FEMENINO,SUBSIDIADO,12-17,1
2024-01,APIA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,FEMENINO,SUBSIDIADO,60+,2
2024-01,APIA,Retraso Mental Leve,FEMENINO,SUBSIDIADO,60+,1
2024-01,APIA,Retraso Mental Moderado,FEMENINO,SUBSIDIADO,18-28,1
2024-01,APIA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,60+,3
2024-01,APIA,Trastorno Afectivo Bipolar,MASCULINO,SUBSIDIADO,18-28,1
2024-01,APIA,Trastorno Depresivo Recurrente,FEMENINO,SUBSIDIADO,29-59,1
2024-01,APIA,Trastorno Depresivo Recurrente,MASCULINO,CONTRIBUTIVO,18-28,1
2024-01,APIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Cocaina,MASCULINO,SUBSIDIADO,18-28,1
2024-01,APIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Multiples Drogas Y Al Uso De Otras Sustancias Psicoactivas,MASCULINO,SUBSIDIADO,18-28,2
2024-01,APIA,Trastornos Psicoticos Agudos Y Transitorios,FEMENINO,SUBSIDIADO,29-59,1
2024-01,ARMENIA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,29-59,3
2024-01,BALBOA,Episodio Depresivo,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BALBOA,Otros Sintomas Y Signos Que Involucran La Funcion Cognoscitiva Y La Conciencia,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,BALBOA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,BALBOA,Otros Trastornos De Ansiedad,MASCULINO,CONTRIBUTIVO,12-17,1
2024-01,BALBOA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,BALBOA,Retraso Mental Moderado,MASCULINO,OTRO,18-28,1
2024-01,BALBOA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BALBOA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,60+,2
2024-01,BELALCAZAR,Enfermedad De Alzheimer,MASCULINO,CONTRIBUTIVO,60+,1
2024-01,BELALCAZAR,Episodio Depresivo,FEMENINO,CONTRIBUTIVO,12-17,1
2024-01,BELALCAZAR,Examen De Pesquisa Especial Para Otras Enfermedades Y Trastornos,MASCULINO,SUBSIDIADO,12-17,1
